symbol,funding_time,year,rate,z,side,r1,r4,r12
LTCUSDT,1718697600000,2024,-3.287e-05,-3.2680251800983835e+15,LONG,-0.005035737079160276,-0.02432273802113904,-0.018912445292891482
LTCUSDT,1718928000000,2024,-5.214e-05,-3.4684587381166847,LONG,0.0009410500123123681,-0.0001345080370578268,-0.01654499362330422
LTCUSDT,1719273600000,2024,-3.35e-05,-2.403724990897353,LONG,0.001577853013290052,0.01609148284824281,0.01212827879309422
LTCUSDT,1719734400000,2024,-3.937e-05,-3.133157092787118,LONG,-0.004114959015501378,-0.007846306628359572,-0.009449727602565714
LTCUSDT,1720166400000,2024,-9.79e-05,-6.536484148324356,LONG,0.02590418451996948,0.03366400753335875,0.0655807307160149
LTCUSDT,1721059200000,2024,-8.096e-05,-2.856472174090004,LONG,-0.005664132956851129,0.018189951651359046,0.02908435713458128
LTCUSDT,1721433600001,2024,-4.716e-05,-2.2499118364184523,LONG,-0.004378769995847537,-0.0021869882965039277,-0.00795069301325408
LTCUSDT,1721577600000,2024,-7.573e-05,-2.360034532327596,LONG,-0.012026931904165112,-0.0016315435298347688,0.0004074702942624836
LTCUSDT,1722758400000,2024,5.82e-06,-2.4945658626449707,SHORT,-0.002320725107481284,-0.006792245933943646,0.018604460626267784
LTCUSDT,1722902400000,2024,-2.51e-06,-2.4853801059435985,LONG,-0.008757675961425083,-0.010311141364021168,-0.0272090262332828
LTCUSDT,1723104000000,2024,-3.926e-05,-2.5305199009986548,LONG,-0.0027633869053093475,0.008757675961424963,0.031074747562956345
LTCUSDT,1723190400000,2024,-5.777e-05,-2.394447033528276,LONG,-0.009420778707043317,-0.008093198027491349,-0.011914752898561008
LTCUSDT,1724284800000,2024,-2.263e-05,-2.206074104112739,LONG,-0.0018844226681923875,-0.00645315846085146,-0.004244955670811612
LTCUSDT,1724371200000,2024,-3.333e-05,-2.3612011697392443,LONG,-0.0017288805878101503,0.0034488198473614845,0.005949602644884627
LTCUSDT,1724803200000,2024,-6.216e-05,-3.1160918087965594,LONG,0.000996512289739076,0.008603626863553556,0.02218478955049984
LTCUSDT,1725292800000,2024,-4.484e-05,-2.1022132468815076,LONG,0.002938676617953842,0.013385844919954107,0.017808269207374012
LTCUSDT,1725753600000,2024,-7.593e-05,-3.17364699294154,LONG,-0.0012940797664879348,0.0037111781198780076,-0.008441608570818073
