strategy,symbol,entry_time,month,side,norm_return
V54,BTCUSDT,1740409260000,2025-02,SHORT,0.073306834639
V54,BTCUSDT,1740574860000,2025-02,SHORT,0.042398389204
V54,BTCUSDT,1740675660000,2025-02,SHORT,0.038793246099
V54,BTCUSDT,1741539660000,2025-03,SHORT,0.040267811443
V54,BTCUSDT,1743343260000,2025-03,SHORT,-0.016599358522
V54,BTCUSDT,1745326860000,2025-04,LONG,0.047131643608
V54,BTCUSDT,1752314460000,2025-07,LONG,-0.017173272564
V54,BTCUSDT,1754870460000,2025-08,LONG,-0.017666788001
V54,BTCUSDT,1757631660000,2025-09,LONG,-0.018387192742
V54,BTCUSDT,1759363260000,2025-10,LONG,0.021823396743
V54,BTCUSDT,1762246860000,2025-11,SHORT,0.033879917049
V54,BTCUSDT,1763125260000,2025-11,SHORT,0.033674154324
V54,BTCUSDT,1763694240000,2025-11,SHORT,0.034903015446
V54,BTCUSDT,1763809260000,2025-11,SHORT,-0.016709709458
V54,BTCUSDT,1764594060000,2025-12,SHORT,-0.023994836958
V54,BTCUSDT,1765116060000,2025-12,SHORT,-0.016816354673
V54,BTCUSDT,1767625260000,2026-01,LONG,-0.016514912925
V54,BTCUSDT,1769331660000,2026-01,SHORT,-0.016357348587
V54,BTCUSDT,1769738460000,2026-01,SHORT,-0.023647118834
V54,BTCUSDT,1769850060000,2026-01,SHORT,0.052221116848
V54,BTCUSDT,1769983260000,2026-02,SHORT,-0.018593115975
V54,BTCUSDT,1770213660000,2026-02,SHORT,0.047818948756
V54,BTCUSDT,1770296460000,2026-02,SHORT,0.042689489864
V54,BTCUSDT,1773633660000,2026-03,LONG,-0.016790446574
V54,BTCUSDT,1775750520000,2026-04,LONG,-0.017311624590
V54,BTCUSDT,1780322460000,2026-06,SHORT,0.033676541905
V54,BTCUSDT,1780406700000,2026-06,SHORT,0.033739607022
V54,BTCUSDT,1780516860000,2026-06,SHORT,0.044674566195
V54,BTCUSDT,1780628460000,2026-06,SHORT,0.018185799353
V54,BTCUSDT,1782687660000,2026-06,SHORT,-0.017663099124
V54,BTCUSDT,1787274060000,2026-08,LONG,0.052889999147
ID121,DOGEUSDT,1729267260000,2024-10,LONG,0.051296116200
ID121,DOGEUSDT,1730164680000,2024-10,LONG,-0.026027735537
ID121,DOGEUSDT,1730217660000,2024-10,LONG,-0.027127605347
ID121,DOGEUSDT,1731340860000,2024-11,LONG,0.061380582725
ID121,DOGEUSDT,1732330860000,2024-11,LONG,0.067587726500
ID121,DOGEUSDT,1735963260000,2025-01,LONG,-0.026098726288
ID121,DOGEUSDT,1737162060000,2025-01,LONG,-0.026578557879
