database,template_id,dimension,key,closed,open,wins,losses,net_pnl,net_pf,mean_margin_return_pct,median_holding_h,p90_holding_h
go_binance,59,symbol,ZILUSDT,3,0,1,2,-1.90533972,0.54614366,-3.17556620,3.99194444,16.54972222
go_binance,59,symbol,AXSUSDT,2,1,0,2,-3.12632885,0.00000000,-7.81582212,7.76805556,8.14427778
go_binance,59,symbol,ICPUSDT,3,0,2,1,5.48801200,3.64784807,9.14668667,7.43611111,9.94588889
go_binance,59,symbol,STRKUSDT,1,0,0,1,-1.95889144,0.00000000,-9.79445718,7.25416667,7.25416667
go_binance,59,symbol,TAOUSDT,3,0,1,2,-3.08138315,0.21712223,-5.13563858,5.01750000,6.10750000
go_binance,59,symbol,GRASSUSDT,2,0,0,2,-4.31509896,0.00000000,-10.78774740,2.65041667,3.61363889
go_binance,59,symbol,GUNUSDT,2,0,0,2,-3.31706544,0.00000000,-8.29266361,3.60736111,5.71658333
go_binance,59,symbol,FHEUSDT,3,0,1,2,-0.55260910,0.84825963,-0.92101517,4.28111111,5.66066667
go_binance,59,symbol,BUSDT,2,0,0,2,-3.48757975,0.00000000,-8.71894938,3.40527778,5.62683333
go_binance,59,symbol,AKEUSDT,3,0,0,3,-6.89145013,0.00000000,-11.48575021,0.09083333,0.12216667
go_binance,59,symbol,BSBUSDT,4,0,0,4,-8.17380210,0.00000000,-10.21725262,1.61319444,2.57602778
go_binance,59,symbol,ATOMUSDT,4,0,2,2,1.92067955,1.47787269,2.40084944,2.79916667,7.46536111
go_binance,59,symbol,WIFUSDT,1,0,0,1,-2.08095888,0.00000000,-10.40479440,1.65083333,1.65083333
go_binance,59,symbol,KAVAUSDT,1,0,0,1,-1.59089588,0.00000000,-7.95447939,1.79416667,1.79416667
go_binance,59,symbol,WLFIUSDT,2,0,1,1,0.71307964,1.35879762,1.78269910,21.70069444,37.17058333
go_binance,59,symbol,DOTUSDT,1,0,0,1,-1.19159165,0.00000000,-5.95795825,1.14888889,1.14888889
go_binance,59,symbol,SKYAIUSDT,2,0,1,1,4.53490368,3.31422586,11.33725920,1.35347222,2.42647222
go_binance,59,symbol,XAGUSDT,2,0,1,1,0.59226150,1.32143520,1.48065375,13.14319444,16.06330556
go_binance,59,symbol,QQQUSDT,1,1,0,1,-1.20805660,0.00000000,-6.04028300,54.01250000,54.01250000
go_binance,59,symbol,XRPUSDT,4,1,2,2,5.93231526,2.48264080,7.41539408,2.43125000,3.57586111
go_binance,59,symbol,ETCUSDT,3,0,0,3,-5.21389341,0.00000000,-8.68982235,1.49250000,5.40716667
go_binance,59,symbol,DOGEUSDT,4,0,1,3,-3.51670187,0.40573447,-4.39587734,3.65430556,5.36527778
go_binance,59,symbol,TRBUSDT,2,0,0,2,-3.24354140,0.00000000,-8.10885350,1.85166667,2.05477778
go_binance,59,symbol,RVNUSDT,4,0,4,0,9.82240908,—,12.27801135,2.78972222,10.05941667
go_binance,59,symbol,WALUSDT,2,0,1,1,-1.12285269,0.44005203,-2.80713171,2.43805556,2.79294444
go_binance,59,symbol,XPLUSDT,3,0,0,3,-6.43436309,0.00000000,-10.72393848,0.27638889,0.65861111
go_binance,59,symbol,QNTUSDT,1,0,1,0,3.37313600,—,16.86568000,6.47527778,6.47527778
go_binance,59,symbol,TIAUSDT,1,0,0,1,-2.16084050,0.00000000,-10.80420250,0.57833333,0.57833333
